语料,分,建议,赞,分类,理由,来源,url,备注
你在这句话里面加了什么？感觉好心酸  ⇒  分手的时候哭死了 一直走不出来 他是我谈的最久的一个我真的很爱他[感动],66,?,0,B 失去 / 离别,,网易云《难过》,https://music.163.com/#/song?id=,
26岁 找个男盆友  ⇒  真的可以找到吗……,66,?,0,Z 其他,,网易云《我不难过 (Live)》,https://music.163.com/#/song?id=,
这么久了还是会偷偷看你动态  ⇒  被劈腿真的很伤人，被谈了7年的男朋友劈腿，过了5年了，还会梦到被他绿[笑哭了],66,?,0,Z 其他,,网易云《我不难过 (Live)》,https://music.163.com/#/song?id=,
26的老阿姨了 家里催的不行 来个同龄的小哥哥凑一对[大哭]  ⇒  还单吗？来晚了，不知道排上队没,66,?,0,F 迷茫 / 年龄焦虑,,网易云《失恋》,https://music.163.com/#/song?id=,
我迟了四年认识潮  ⇒  其实是迟了8年，日版漫画18年出的,66,?,0,Z 其他,,网易云《失恋ソング沢山聴いて 泣いてばかりの私はもう。》,https://music.163.com/#/song?id=,
不一定标准的哇[哭哭] [发布了语音，请前往最新移动端版本查看]  ⇒  好有tuki的感觉[欣赏音乐],66,?,0,Z 其他,,网易云《失恋ソング沢山聴いて 泣いてばかりの私はもう。》,https://music.163.com/#/song?id=,
咋都在说夏日重现 没人觉得抛开番 这个歌本身就很好听吗  ⇒  真的巨好听，听一次直接狠狠爱上,66,?,0,D 孤独 / 没人,,网易云《失恋ソング沢山聴いて 泣いてばかりの私はもう。》,https://music.163.com/#/song?id=,
耶✌️我抗癌成功了！  ⇒  恭喜恭喜，以后就是崭新的生活,66,?,0,F 迷茫 / 年龄焦虑,,网易云《一程山路》,https://music.163.com/#/song?id=,
应该吧，我也刚上，很不适应  ⇒  真的很快 不要怕 人不能同时拥有青春和对青春的感受,66,?,0,Z 其他,,网易云《追梦赤子心》,https://music.163.com/#/song?id=,
2026.9.12 来看了你最爱的歌手的演唱会 妈妈我爱你 希望你在天堂一切都好 下一个时间的轮回里我们还会再见面的 我想不到为什么世界上会有你这么温柔的人 可是关于你的记忆越来越模糊了 有时候想想 带我走吧 有你的人生才叫做活着  ⇒  妈妈最希望的就是你好好生活,66,?,0,Z 其他,,网易云《妈妈》,https://music.163.com/#/song?id=,
妈妈走了31年了。 我也31了。 父亲前几年也走了。留我一个人在世间。 颓废很多年。 我撑不下去了。房租都交不起。 太累了。  ⇒  看到你现在还挺好的，就好,66,?,0,G 高风险,,网易云《妈妈》,https://music.163.com/#/song?id=,
我诅咒你们，八十岁了还被爸妈打。  ⇒  虽然说我网速有点慢，但是我还是接[笑了],66,?,0,Z 其他,,网易云《MOM》,https://music.163.com/#/song?id=,
有从抖音“北鼻”来的吗  ⇒  我呀我呀 ，这首歌我以前就喜欢听，但是抖音的那个实在是太洗脑了,66,?,0,Z 其他,音乐评论，不是陪伴语言,网易云《活着》,https://music.163.com/#/song?id=,
好想回到妈妈的肚子里被打掉  ⇒  这个角度真的是没想到,66,?,0,Z 其他,,网易云《活着》,https://music.163.com/#/song?id=,
怎么样算没死？  ⇒  没死的都知道自己没死，只有死了的还不知道如何算没死,66,?,0,F 迷茫 / 年龄焦虑,,网易云《活着》,https://music.163.com/#/song?id=,
余华老师说:“人和人交往还是少说话 克制表达欲 平静温和就行 不自卑也别炫耀 别为获得共鸣 讲起过往没完没了 无意间表现的品质 被对方发现才更招人喜欢 胜过千言万语 仔细想想 你哪次滔滔不绝后 带来的不是悔恨 ”  ⇒  这真的余华老师说的吗[偷笑],66,?,0,B 失去 / 离别,,网易云《活着Viva》,https://music.163.com/#/song?id=,
阿仔都沦落到“冷门歌手 冷门歌”哈哈哈 太颠了这个世界  ⇒  冷门在哪 我感觉我小时候有记忆起就知道谢霆锋了 虽然小时候只知道他是演员,66,?,0,Z 其他,,网易云《活着Viva》,https://music.163.com/#/song?id=,
抖音过来的，那个小姐姐唱的蹩脚粤语又特别自信又节奏感  ⇒  谢霆锋版本真的难如听[难顶],66,?,0,Z 其他,,网易云《活着Viva》,https://music.163.com/#/song?id=,
“奇洛李维斯 真的回信了”  ⇒  “奇洛李维斯 真的回信了”,66,?,0,Z 其他,,网易云《活着Viva》,https://music.163.com/#/song?id=,
那个女的是我的好朋友，我的兄弟，也是我的好朋友，我能怎么办呢？只能放手了，我也不甘心，他俩后来谈都是我一手撮合成的，你知道我每次撮合他俩的时候，我心里有多难受吗？喜欢他却要帮他喜欢别人我不甘心  ⇒  兄弟你知道我名字的意思吗那就是默默的爱着ljy,66,?,0,F 迷茫 / 年龄焦虑,,网易云《失眠》,https://music.163.com/#/song?id=,
可是宝贝 每当下雨我都会想起你弯弯的嘴角.  ⇒  心好像一把坏掉的伞 撑得起 收不回,66,?,0,Z 其他,,网易云《失眠》,https://music.163.com/#/song?id=,
今天是26年7月18日，这首歌是她最喜欢的，我们在一起听歌听了4629分钟，就在昨天晚上她去世了，喝农药走的准确说是被父母老师逼的，她的原生家庭并不好常常遭到父母的打骂十几年来亦是如此，她总是告诉我要好好爱自己可她呢她为什么不好好爱自己呢，我感觉现在天塌了，我都不知道以后的路要怎么走了  ⇒  带着挺的希望活下去加油兄弟,66,?,0,B 失去 / 离别,,网易云《失眠 (Cover Suki刘舒妤)》,https://music.163.com/#/song?id=,安慰语命中
哥们虚空索敌，下次先把字打对哈[笑哭了]  ⇒  怎么不讲话了呀？[感动]你的情绪价值为什么会收藏呢？还不是因为那些网上发个文案，然后配情绪价值，说我怎样才能获得你情绪价值的图片，然后你这种小字听着特别有感觉，就直接跑来网易云收藏了那么老的歌，你现在才收藏，真的是搞笑，一语点破兄弟,66,?,0,Z 其他,,网易云《焦虑Pt.2/膨胀》,https://music.163.com/#/song?id=,
女朋友喜欢alin 她陪我看了最爱的陈奕迅 一定要带她看一场alin 死手加油抢啊！！！！  ⇒  alin内场挺好抢的,66,?,0,Z 其他,,网易云《一个人》,https://music.163.com/#/song?id=,
Hi，过路人，我不求你能在几万评论里看见我，如果你看见我了，说明你很幸运，我知道你们也有故事，只是没说。如果我还没注销账号，说明我还活着，最后…祝你们平安吧[脸红]  ⇒  不管真假 一定有点故事天天开心,66,?,0,Z 其他,,网易云《遗憾》,https://music.163.com/#/song?id=,
暗恋很久了，破千就表白  ⇒  这世界没有表白，一切都是水到渠成，表白是两个人心知肚明没有捅破窗户纸罢了[哭哭] 单相思表白只能是自我感动。话很难听[哭哭]但是现实就是如此,66,?,0,Z 其他,,网易云《遗憾》,https://music.163.com/#/song?id=,
美静的声音真的好有质感，好好听，就像一块干净的肥皂  ⇒  肥皂也有点太廉价了，像一块美玉,66,?,0,Z 其他,,网易云《遗憾》,https://music.163.com/#/song?id=,
有些人这辈子你已经见过最后一面了。  ⇒  现在毕业再看真的很感触,66,?,0,B 失去 / 离别,,网易云《遗憾》,https://music.163.com/#/song?id=,
快给我火！！！🔥🔥🔥  ⇒  今天都不知道听了多少遍了,66,?,0,F 迷茫 / 年龄焦虑,,网易云《加油》,https://music.163.com/#/song?id=,
所以，被爱的前提到底是什么  ⇒  没有固定答案，喜欢就是喜欢了,66,?,0,Z 其他,,网易云《加油（0.8）》,https://music.163.com/#/song?id=,
世界没有扭曲，是身体性能差，差到无法接受所有美好，差到明明可以选择开心的事却开心不起来  ⇒  世界就是扭曲的，身体不差，是扭曲的世界压垮了身体，扭曲的世界让人面对本可以开心的事情也开心不起来了,66,?,0,Z 其他,,网易云《在痛苦彻底撕裂之前》,https://music.163.com/#/song?id=,
一句zmjjkk下去 一点听的欲望都没了  ⇒  不是掉价是明显想搞点流的样子有点难看[笑哭了],66,?,0,B 失去 / 离别,,网易云《直视痛苦》,https://music.163.com/#/song?id=,
这不比年少成名好听？  ⇒  绝对好听多了 这首也是全专为数不多好听的歌 年少成名那个歌混音和唱法都很有问题 抛开内容不谈你让几年前的隼过来唱就是会唱的好听很多,66,?,0,Z 其他,,网易云《直视痛苦》,https://music.163.com/#/song?id=,
？？？这真的不是连麻吗  ⇒  尊重歌手，每个人都是独立的[抱抱你],64,?,3,Z 其他,音乐评论，不是陪伴语言,网易云《爱欲求》,https://music.163.com/#/song?id=,安慰语命中
留言和想哭是这张专辑我最喜欢的两首歌。  ⇒  我也是好喜欢这两首。 留言这么好听，居然这么冷门。,64,?,0,Z 其他,,网易云《想哭》,https://music.163.com/#/song?id=,
每个不停阶段听都是不同的感受，脑海里也在播放不同的MV。第一次听的时候感觉很轻松治愈，脑海里的MV是小猫小狗；去找她的路上听的时候，脑海里的MV是和她的幸福场景；那段时间很少听歌了。后来分开的时候再听，脑海里浮现的是那些已经播放的和未能播放的场景；后来我又遇到了一个很好很好的人……  ⇒  现在，我又戴上了耳机，脑海里播放着两段已经播放的和没能播放的幸福场景。,64,?,0,Z 其他,,网易云《Sacred Play Secret Place》,https://music.163.com/#/song?id=,
谁说一句活下去，我就活几天  ⇒  我问你。我要我要我要我要我要我要我要我要我要我要我要我要我要我要爸爸电影爸爸妈妈给爷爷没有白云的没没没有没有哇。,64,?,0,Z 其他,,网易云《爱我你就抱抱我》,https://music.163.com/#/song?id=,
我是家里第一位高中生，也是第一位大学生，最后94天，我也一定要成为家里的第一位研究生！  ⇒  我一定要考上研究生！,64,?,0,Z 其他,,网易云《一程山路》,https://music.163.com/#/song?id=,
我最近感觉刚活过来，但是因“死去”太久，现在感觉有点不适应，必须打起精神来！  ⇒  我已经“死”了。,64,?,0,Z 其他,,网易云《活着》,https://music.163.com/#/song?id=,
小学6年？！？！  ⇒  不是，初中二年到高中三年，大学一年，我和他报了同一志愿。一起上大学。,64,?,0,Z 其他,,网易云《失眠》,https://music.163.com/#/song?id=,
大学一位学姐，貌美有上进，还有一个在另一个城市工作的帅气男盆友，我们都把他们当童话故事里的公主和王子，每每羡慕的星星眼，她都是淡淡的笑。直到有一天，我把耳机的另一边塞在她耳朵里，放的这首我不难过，她却哭了。  ⇒  你泡学姐，小心学长打你哦。,63,?,6681,Z 其他,,网易云《我不难过》,https://music.163.com/#/song?id=,
2026.7.15，10:39我确认我中考失利了，我会一辈子活在这个阴影里，活在亲戚朋友们的言语里，活在自卑的囚笼里，我想，我真的没有前途了吗  ⇒  没有任何一场考试可以决定一个人的一生，你还年轻，未来还有无限可能，考试并非唯一道路，大胆的探索适合自己的道路吧。,63,?,0,D 孤独 / 没人,,网易云《Sacred Play Secret Place》,https://music.163.com/#/song?id=,
"我是一个缺爱泪失禁又容易感性的人,一难过焦虑想哭就想钻进被窝,用被子紧紧裹住自己放首舒缓的音乐,假装有人抱着我轻声安慰,然后我想着睡着了就行了,结果起来被子还是湿了一角  ⇒  发这个评论还是胡思乱想焦虑的时候,也是那样用被子裹住自己的操作,可能发这个评论还是忧郁感性了，别骂我别嘲笑我呀。",63,?,0,E 愤怒 / 被欺负,,网易云《magnolia》,https://music.163.com/#/song?id=,
加油活下去你就是你自己的世界不要介意别人的看法哟  ⇒  噢不手抖字打错了。,63,?,0,Z 其他,,网易云《magnolia》,https://music.163.com/#/song?id=,
爷爷得了肺癌，我也才五年级，看着别人的爷爷接送他们，心里会很难受，爸爸每次回家都会哭，爸爸天天在两边跑，待在家里的时间只有十几天，希望爷爷能快点好起来，祝你早日康复！  ⇒  生命已经倒计时了，多见几天吧。,63,?,0,Z 其他,,网易云《海屿你》,https://music.163.com/#/song?id=,
雨停了，我终于可以下去了，可我的身边却少了一位人，那场大雨不仅带走了我的爱人，还带走了我对这个世界的期望  ⇒  一定要活下去啊混蛋！我都坚持下来了！！！,63,?,0,B 失去 / 离别,,网易云《失眠 (Cover Suki刘舒妤)》,https://music.163.com/#/song?id=,
真正属于你的东西从来不需要你用力去抓紧  ⇒  嗯，看似有选择，又好似没有选择。,63,?,0,Z 其他,,网易云《一个人》,https://music.163.com/#/song?id=,
十几岁的时候不正是思考这些的时候吗  ⇒  他们还都是小孩子啊。。,63,?,0,Z 其他,,网易云《在痛苦彻底撕裂之前》,https://music.163.com/#/song?id=,
偶然在一个唱聊房主的房间里听到了这首歌，等回过神来时，歌曲已经播放完毕了，等我反应过来的时候，歌已经换掉了，房主也找不到了，只记得一点旋律，可惜哼唱识曲没用🙈，于是，我开始在房主3202首我喜欢里一首一首的找，从23：34一直找到01：57，终于，熟悉的旋律再次响起，找到后直接困晕过去了🙈  ⇒  第一次傻傻的为一首歌熬夜，发条评论纪念一下！愿每一份坚持最后都会有结果❤️,62,?,48261,A 被否定 / 失败,,网易云《Love Is Gone (Acoustic)》,https://music.163.com/#/song?id=,
睡不着睡不着！！！单曲循环，越循环越睡不着，越睡不着，越是思考人生，越是思考，越是睡不着。歌词简直就是内心独白[流感]，感悟过后，依然睡不着。循环、循环。。。良性or恶性？？！  ⇒  人家成功了，所以可以这样唱， 如果你还在为生存而努力，就不要考虑生活了……想的太多，做的太少！如斯也。[大哭],62,?,46954,H 身体 / 睡眠,,网易云《活着》,https://music.163.com/#/song?id=,
这就是个过气歌手，发的歌都是改以前发过的，没有创作精神。大家不要再追了，下次演唱会不要去抢票，让我近距离批判他  ⇒  40米的刀拔出来收回去很累的,62,?,3588,C 疲惫 / 撑不住,,网易云《孤独》,https://music.163.com/#/song?id=,
我喜欢奇洛李维斯回信和喜欢这首歌并不冲突，并没有说这是奇洛李维斯专属，只是觉得很适配，所以提及，只是提的人多了，引起一部分人反感，但请相信我们没有恶意，我是因为这本小说，才感觉到粤语歌的魅力，算是互相成就，所以不管是喜欢小说，还是歌，还是都喜欢，总归是没矛盾的  ⇒  什么时候才能回到ky人人喊打的时代🫂,62,?,1773,Z 其他,,网易云《活着Viva》,https://music.163.com/#/song?id=,
盗版我听几百遍，这个清晰的声音出来我的眼泪也出来了  ⇒  听哭了 sasi结束了他的痛苦了 我的人生也才刚刚启程,62,?,1612,Z 其他,,网易云《天生痛苦》,https://music.163.com/#/song?id=,
这首歌与《失恋阵线联盟》有什么区别呢...  ⇒  粤语跟国语的区别,62,?,1580,Z 其他,,网易云《失恋》,https://music.163.com/#/song?id=,
腔调像连麻 旋律像sasi 声音和韵脚处理像隼  ⇒  原来被耍成曲面的女孩子是sasi,62,?,1266,Z 其他,,网易云《爱欲求》,https://music.163.com/#/song?id=,
居然有人拿霆锋跟李易锋比，呵呵，恐怕李这辈子都到不了谢那个高度  ⇒  有眼光 李已经进去踩缝纫机了,62,?,1043,Z 其他,,网易云《活着Viva》,https://music.163.com/#/song?id=,
爱，不就是人类最根本的欲望么  ⇒  有些欲望是爱，有些爱却只是欲望,62,?,892,Z 其他,,网易云《爱欲求》,https://music.163.com/#/song?id=,
谢霆锋其人，80后说他是歌手，90后说他是演员，00后说他是厨子[大哭]  ⇒  10后说他是滑雪运动员[大哭],62,?,859,Z 其他,,网易云《活着Viva》,https://music.163.com/#/song?id=,
“几时走” “今日离港”  ⇒  离港！我希望你是我的勃朗峰,62,?,783,Z 其他,,网易云《活着Viva》,https://music.163.com/#/song?id=,
Sakee喊我不要回应了但他晓得我太固执  ⇒  重新听这张，听到这句愣了一下,62,?,590,Z 其他,,网易云《焦虑Pt.2/膨胀》,https://music.163.com/#/song?id=,
看见名字立马点进去听 结果…… 再也不可能有焦虑这样的歌了 就算是2也完全没有1的感觉 阶段变了状态变了再也写不出那种郁郁不得志的感觉了 最伟大的作品在苦难中诞生 可能确实这样  ⇒  为什么要一直停留在郁郁不得志的苦难阶段？,62,?,568,Z 其他,,网易云《焦虑Pt.2/膨胀》,https://music.163.com/#/song?id=,
没事明天隼一起来就知道什么是直面痛苦了  ⇒  已经破防退微信群了,62,?,280,Z 其他,,网易云《直视痛苦》,https://music.163.com/#/song?id=,
姐姐明年会考虑开生日会吗  ⇒  浪姐结束可以考虑搞一个见面会,62,?,204,Z 其他,,网易云《遗憾》,https://music.163.com/#/song?id=,
我知道大家喜欢之前那个现场版 但是好像录音室版本就是跟现场版出来会有差别 我也不太懂 但是已经尽量贴合了 谢谢大家的喜欢 我会记在心里  ⇒  依旧好听的，最好的孙怡,62,?,183,Z 其他,,网易云《遗憾》,https://music.163.com/#/song?id=,
陈辉阳真是垄断了千禧年初的港乐坛  ⇒  垄断不至于，还有伍乐城，雷颂德等作曲家,62,?,54,Z 其他,,网易云《抱抱》,https://music.163.com/#/song?id=,
今天是26年7月18日，这首歌是她最喜欢的，我们在一起听歌听了4629分钟，就在昨天晚上她去世了，喝农药走的准确说是被父母老师逼的，她的原生家庭并不好常常遭到父母的打骂十几年来亦是如此，她总是告诉我要好好爱自己可她呢她为什么不好好爱自己呢，我感觉现在天塌了，我都不知道以后的路要怎么走了  ⇒  听她的话好好替她活,62,?,51,B 失去 / 离别,,网易云《失眠 (Cover Suki刘舒妤)》,https://music.163.com/#/song?id=,
好震惊居然是18年的歌……对比之下这八年华语乐坛还真是全面退步……  ⇒  确实是，现在的歌都是跟机器一样，没啥灵魂 像我这样草稿本写曲，一轨一轨编乐器的，已经不多了,62,?,50,Z 其他,,网易云《告别》,https://music.163.com/#/song?id=,
弗洛洛：来告诉我，人死到底能不能复生呀  ⇒  剑鞘怎么跑出来了[怒],62,?,44,Z 其他,,网易云《别难过》,https://music.163.com/#/song?id=,
本来想躲着被子哭的，结果太舒服睡着了  ⇒  睡着了就好[EMO听歌],62,?,43,Z 其他,,网易云《失眠 (Cover Suki刘舒妤)》,https://music.163.com/#/song?id=,
前奏很不错··以为是首好歌，人声一进就立刻切歌，啥呀这是  ⇒  不喜欢切歌就行了没必要专门回来评论攻击一下人声,62,?,40,Z 其他,,网易云《焦虑》,https://music.163.com/#/song?id=,
小学某个暑假听的这首歌，一晃都大学毕业了  ⇒  最近心情很乱也是忽然想到这个歌回来看看结果居然还有人!,62,?,34,Z 其他,,网易云《一个人》,https://music.163.com/#/song?id=,
这首歌你知道费很多感情  ⇒  只有哭着才能唱出来,62,?,28,Z 其他,,网易云《我不难过 (Live)》,https://music.163.com/#/song?id=,
那天在车上颠簸的时候无意中听到，仔细想想这首歌的专辑距离现在多少年了已经。你现在终于是一姐了，各种意义上的一姐，你做到了，真的做到了，你赢了，赢得很彻底，但我再也找不到当初的那个你了。现在的你唱歌还能令你快乐吗？楼下一头一尾两间音像店都在轮流播你的争气和心淡的日子是再也回不来了。  ⇒  又7年了，内地崛起，香港衰落，又变了,62,?,27,F 迷茫 / 年龄焦虑,,网易云《抱抱》,https://music.163.com/#/song?id=,
本蟹黄堡已经快被圈粉了  ⇒  棠主魅力真大[亲亲],62,?,15,Z 其他,,网易云《别错过 (Live版)》,https://music.163.com/#/song?id=,
为什么有种说不出的耳熟…不会是Ai音乐吧  ⇒  小鬼们最爱的空口鉴 AI 环节,62,?,14,Z 其他,,网易云《告别》,https://music.163.com/#/song?id=,
棠主6期每期不同帅哥[大笑]  ⇒  本蟹黄堡已经快被圈粉了,62,?,10,Z 其他,,网易云《别错过 (Live版)》,https://music.163.com/#/song?id=,
父母越来越慈祥 感觉前半生的痛苦都像是假的  ⇒  因为你开始对他们产生价值了,62,?,9,Z 其他,,网易云《在痛苦彻底撕裂之前》,https://music.163.com/#/song?id=,
玩了橙光游戏之后找来的举手  ⇒  夏尽时亡，，最爱吴世勋[色],62,?,6,Z 其他,,网易云《1분도 못버텨》,https://music.163.com/#/song?id=,
★☆☆☆☆ 带我入坑的女玩家人超级好 下次能不能给她幸福的剧本。 还有下次别带我入坑了  ⇒  下次还会是她，你们会有一个幸福的剧本,62,?,5,Z 其他,,网易云《在痛苦彻底撕裂之前》,https://music.163.com/#/song?id=,
又7年了，内地崛起，香港衰落，又变了  ⇒  首先内地乐坛没有崛起任何东西,62,?,4,Z 其他,,网易云《抱抱》,https://music.163.com/#/song?id=,
我记得抖音环境不是挺好的吗  ⇒  总爱玩众人皆醉我独醒,62,?,4,Z 其他,,网易云《焦虑》,https://music.163.com/#/song?id=,
今天怎么想到听这个呢 宝宝们  ⇒  想到了若无其事是最好的报复,62,?,3,Z 其他,,网易云《想哭》,https://music.163.com/#/song?id=,
留言和想哭是这张专辑我最喜欢的两首歌。  ⇒  还有 除了这些，还有…,62,?,3,Z 其他,,网易云《想哭》,https://music.163.com/#/song?id=,
"“怎样的我，才能令你骄傲呢？” “爱弥斯，我只希望，你能轻松快乐地活着。” “这样啊...” ""爱弥斯对我，有什么期望吗？"" “我希望...... 在你未来漫长的生命中，仍然能够感知悲伤，也能够时常觉得幸福。 最后这段旅行，能和你一起走......真是太好啦！”  ⇒  你敢自己读一遍吗？[怒]",62,?,3,F 迷茫 / 年龄焦虑,,网易云《别难过》,https://music.163.com/#/song?id=,
收费让我们相聚在这里  ⇒  可是我听了原唱VIP版 我还是喜欢live版,62,?,3,Z 其他,,网易云《我不难过 (Live)》,https://music.163.com/#/song?id=,
我不谈恋爱的原因 因为我是神 神习惯了孤单 神不会凡选 神不被定义 神不碰恋情 神不入情局 神不贪温柔 神只做自 神不盼陪伴 神职守本心 神不缺温柔 神不求偏爱 神不被左右 神不缺理解 神不盼聊天 神不信承诺 神不做依赖 神不随凡流 神不恋烟火 神不被约束 神中自由 神只爱自由 神不做妥协 神只守本心  ⇒  你并不是神，只是被伤的太重了,62,?,3,D 孤独 / 没人,,网易云《失眠 (Cover Suki刘舒妤)》,https://music.163.com/#/song?id=,
邓紫棋的真是奇怪，出专辑的时候不温不火，她的歌总是过了几年之后才现象级地爆红，这是否说明她的创作理念领先大部分听众几年呢  ⇒  让子弹飞一会[认可],62,?,2,Z 其他,,网易云《孤独》,https://music.163.com/#/song?id=,
第三十三秒卡碟了 第一句 蓝进我心 很明显少了一帧  ⇒  @張學友--JackyCheung @早餐嘅 啦几网易云,62,?,2,Z 其他,,网易云《想哭》,https://music.163.com/#/song?id=,
《想哭》《忘了哭》《我哭了》 所以學友你到底哭沒哭？  ⇒  还有一首，别让我发现你在哭,62,?,2,Z 其他,,网易云《想哭》,https://music.163.com/#/song?id=,
谁说一句活下去，我就活几天  ⇒  不管好过难活，都要活下去,62,?,2,Z 其他,,网易云《爱我你就抱抱我》,https://music.163.com/#/song?id=,
又失眠了，25岁了，开始很害怕了。  ⇒  怕什么，怕自己这个年纪还没成家?怕父母的催促?没必要怕，每天充实，有钱出去旅游看世界，没钱就努力上进,62,?,2,H 身体 / 睡眠,,网易云《关于我爱你》,https://music.163.com/#/song?id=,
我也想以后的女朋友能在大字的KTV安安静静的唱张悬的歌 而不是在那里撕心裂肺的唱着泡沫  ⇒  管天管地管别人喜欢什么歌,62,?,2,F 迷茫 / 年龄焦虑,,网易云《关于我爱你》,https://music.163.com/#/song?id=,
2026了还有人看夏日重现吗[哭哭]  ⇒  八刷了我[偷笑],62,?,2,Z 其他,,网易云《失恋ソング沢山聴いて 泣いてばかりの私はもう。》,https://music.163.com/#/song?id=,
𝙏𝙤 𝙬𝙞𝙣 𝙩𝙝𝙚 𝙬𝙤𝙧𝙡𝙙  ⇒  sure[认可],62,?,2,Z 其他,,网易云《一程山路》,https://music.163.com/#/song?id=,
为什么我2025年12月才听到这首歌？[大哭]  ⇒  火了的时候大家能不能给我多点几个赞,62,?,2,Z 其他,,网易云《妈妈》,https://music.163.com/#/song?id=,
“唔該，陳挽bb”  ⇒  陈挽，你无与伦比,62,?,2,Z 其他,,网易云《活着Viva》,https://music.163.com/#/song?id=,
或许史铁生也想不到母亲出去就再也没有回来  ⇒  天天把死挂在嘴边的人，不是在期待死，而是在渴望爱——史铁生,62,?,2,Z 其他,,网易云《失眠 (Cover Suki刘舒妤)》,https://music.163.com/#/song?id=,
挂电排后边去  ⇒  26年了还听不了电 土鸡蛋一个[大哭],62,?,2,Z 其他,,网易云《焦虑》,https://music.163.com/#/song?id=,
小红书过来的，觉得挺好听的  ⇒  同小红书过来的[搞怪],62,?,2,Z 其他,,网易云《一个人》,https://music.163.com/#/song?id=,
不删他 内耗能杀死我 删了他 思念会杀死我 诸位军师 这局何解.  ⇒  内耗的时候删了他，想他的时候加回他[偷笑],62,?,2,Z 其他,,网易云《遗憾》,https://music.163.com/#/song?id=,
遗憾总是贯穿人生的始终  ⇒  可是我从不觉得遗憾 是我的就永远是我的不是就不是 我要的是结果而不是过程 我要的从来都不是所谓的爱情 是长久的陪伴和安心踏实的生活,62,?,2,Z 其他,,网易云《遗憾》,https://music.163.com/#/song?id=,
你对我总是很理智，而我却像个疯子  ⇒  他明明知道我放不下 可还是那么绝情 把我当空气一样,62,?,2,Z 其他,,网易云《遗憾》,https://music.163.com/#/song?id=,
九年级好累  ⇒  想收到很多祝福的话,62,?,2,C 疲惫 / 撑不住,,网易云《加油！》,https://music.163.com/#/song?id=,
分享歌词： 加油鸭， 加油鸭， 向前冲鸭， 苍天鸭， 大地鸭， 我的马鸭， 你好鸭， 丑小鸭， 等等我鸭， 梦想在， 前方鸭， 等着大家， 新的一天开始啦， 我出门离开家， 外面风大雨也大， 我都不害怕， 虽然本领不算大， 我也要闯一下， 奔跑姿势很优雅， 跌倒继续爬， 加油鸭， 加油鸭， 向前冲鸭，  ⇒  确实我也觉得加油鸭也很好听吗？,62,?,2,B 失去 / 离别,,网易云《加油鸭》,https://music.163.com/#/song?id=,安慰语命中
大哥大哥多大发顺丰的惹人烦  ⇒  X。X。X。DNND,62,?,2,F 迷茫 / 年龄焦虑,,网易云《加油鸭》,https://music.163.com/#/song?id=,
这歌听一遍和听十遍，居然有不一样的感觉！越听越好听了  ⇒  这才是正常人 不是听一遍就过来分享自己的小众评价了,62,?,2,Z 其他,,网易云《直视痛苦》,https://music.163.com/#/song?id=,
2025了，还有人听吗  ⇒  2026啦，新年快乐,62,?,2,Z 其他,,网易云《告别》,https://music.163.com/#/song?id=,
一个人为了男友来到新疆 今天发烧 38°多 咳嗽的血丝都有 给他发讯息 他没能回我 也没来接我 蹲在门诊门口 哭了半小时 很俗的一句话：原来，我做了这么多，感动的只是我自己罢了 明天回台州 我要很幸福！！  ⇒  9年了 你幸福了吗,62,?,1,D 孤独 / 没人,,网易云《斑马，斑马》,https://music.163.com/#/song?id=,
我恨自己 我恨PG 总是幻想着电脑也会死机 肯定能翻身 今天她过生日我连买束花的钱都没有 我真不是个人  ⇒  再给我一点时间下次生日一定给你买束花,62,?,1,Z 其他,,网易云《斑马，斑马》,https://music.163.com/#/song?id=,
我带给你的一切都是绝版的  ⇒  可是一切都不是绝版,62,?,1,Z 其他,,网易云《想哭》,https://music.163.com/#/song?id=,
音质有点渣  ⇒  渣音质才有以前破mp3的风味儿。[EMO听歌],62,?,1,Z 其他,,网易云《回忆总想哭+忘不掉的伤+秋风落叶+痛彻心扉+刻骨的温柔+爱情惹的祸+丢了幸福的猪+我想找个女朋友 (网友改编)》,https://music.163.com/#/song?id=,
"我很害怕我把我们的关系一下就结束了 眼泪说来就来 那我怎么当着你的面呢 后面怎么和好了？我也不知道 因为我想我们的裂缝我永远记得 因为我怕再次碎开 后来也有过吧 我们分开了 不在同一所学校 看着你每天从学校回来对我的诉苦 我感觉好无助啊 为什么我帮不了你呢？为什么我不能帮你分担呢 我也好难  ⇒  如果有痛苦的话 我们一起分担就好了 可是我们不在呀 只能靠着小小的一块屏幕和你在联系 听到你的不舒服 看到你的悲伤 看到你的痛苦 我甚至比自己感到痛苦 还要痛苦 你第一次说有想跳楼的意思时 哇 我好绝望啊 真怕你想不开 真怕你就这么去了 但现在就挺好的 我们都挺好的 永远爱你(""3"")我最好的xy",62,?,1,D 孤独 / 没人,,网易云《别难过》,https://music.163.com/#/song?id=,
当你压力大到快要崩溃，不要跟别人讲，也不要觉得自己委屈，没有人会心疼你。要像余华说的那样:“在夜深人静的时候，把心掏出来，自己缝缝补补，然后睡一觉起来，又是信心百倍。无人问津也好，技不如人也罢，你都要安静下来，去做自己该做的事情，而不是让烦恼和焦虑，毁掉你本就不多的热情和定力。  ⇒  一直靠自己解决只会内耗,62,?,1,C 疲惫 / 撑不住,,网易云《别错过 (Live版)》,https://music.163.com/#/song?id=,
